City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Det Udom,TH,14.906,105.0784,90.95,58,99,9.08,overcast clouds
176,Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,75,99,10.63,overcast clouds
177,Srednekolymsk,RU,67.45,153.6833,44.69,81,62,8.32,broken clouds
178,Tessalit,ML,20.1986,1.0114,78.75,12,4,9.26,clear sky
179,Hambantota,LK,6.1241,81.1185,85.8,69,90,22.39,overcast clouds
180,Tigtabon,PH,6.8956,122.1669,87.89,70,75,4.61,broken clouds
181,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,9.22,clear sky
182,Grand-Santi,GF,4.25,-54.3833,71.35,100,32,2.53,scattered clouds
183,Mayo,US,38.8876,-76.5119,65.98,92,100,6.91,haze
184,Rudnogorsk,RU,57.2639,103.7519,66.06,22,44,5.14,scattered clouds
185,Requena,ES,39.4883,-1.1004,49.51,63,45,2.37,scattered clouds
186,Yellowknife,CA,62.456,-114.3525,41.52,70,20,10.36,few clouds
187,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,82,98,7.81,overcast clouds
188,Fortuna,US,40.5982,-124.1573,53.65,85,100,14.97,overcast clouds
189,Klaksvik,FO,62.2266,-6.589,41.92,70,93,24.11,overcast clouds
190,Deer Lake,CA,49.1667,-57.4316,31.86,93,0,0.0,clear sky
191,Ulaangom,MN,49.9811,92.0667,59.04,14,0,5.26,clear sky
192,Chokurdakh,RU,70.6333,147.9167,32.86,100,98,9.66,overcast clouds
193,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,26,4.61,scattered clouds
194,Vaini,TO,-21.2,-175.2,73.56,78,75,13.8,light intensity shower rain
195,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,75,9.22,broken clouds
196,Vondrozo,MG,-22.8167,47.2833,63.77,90,84,0.76,broken clouds
197,Bonthe,SL,7.5264,-12.505,75.45,94,99,4.61,overcast clouds
198,Traverse City,US,44.7631,-85.6206,61.0,85,0,0.0,clear sky
199,Yerbogachen,RU,61.2767,108.0108,56.82,53,100,10.78,overcast clouds
200,Ballina,AU,-28.8667,153.5667,70.79,86,82,17.98,broken clouds
201,Ak-Dovurak,RU,51.1833,90.6,60.33,19,0,1.74,clear sky
202,Ilulissat,GL,69.2167,-51.1,21.22,79,100,8.05,light shower snow
203,Souillac,MU,-20.5167,57.5167,77.38,69,40,10.36,scattered clouds
204,San Clemente,US,33.427,-117.612,67.82,52,0,5.99,clear sky
205,Hohhot,CN,40.8106,111.6522,61.09,13,20,17.9,few clouds
206,Hilo,US,19.7297,-155.09,73.26,82,75,3.44,broken clouds
207,Vao,NC,-22.6667,167.4833,73.24,61,100,26.78,overcast clouds
208,Taoudenni,ML,22.6783,-3.9836,81.7,11,2,14.25,clear sky
209,Kenai,US,60.5544,-151.2583,49.03,69,100,14.97,overcast clouds
210,Maniitsoq,GL,65.4167,-52.9,27.63,70,51,20.65,broken clouds
211,Atuona,PF,-9.8,-139.0333,78.89,78,21,23.94,few clouds
212,Saint-Pierre,RE,-21.3393,55.4781,79.92,57,75,6.91,broken clouds
213,Mecca,SA,21.4267,39.8261,97.41,10,1,10.78,clear sky
214,Tura,IN,25.5198,90.2201,79.57,84,71,6.89,moderate rain
215,Mahebourg,MU,-20.4081,57.7,78.26,69,40,10.36,scattered clouds
216,Mar Del Plata,AR,-38.0023,-57.5575,55.87,85,97,7.0,light rain
217,Kaitangata,NZ,-46.2817,169.8464,54.03,70,100,4.7,overcast clouds
218,Kuusamo,FI,65.9667,29.1833,44.64,81,0,4.61,clear sky
219,West Wendover,US,40.7391,-114.0733,53.6,35,97,5.21,overcast clouds
220,Taboga,IT,46.2663,13.1092,64.22,86,85,1.52,overcast clouds
221,Rognan,NO,67.0953,15.3878,43.05,91,100,4.76,light rain
222,Pudozh,RU,61.8099,36.5345,42.37,98,100,5.14,light rain
223,Hamilton,US,39.1834,-84.5333,69.22,70,0,0.0,clear sky
224,Port Hawkesbury,CA,45.6169,-61.3485,47.62,87,0,3.0,clear sky
225,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,53,100,12.66,overcast clouds
226,Weihe,CN,32.9952,105.3247,52.56,84,100,4.43,overcast clouds
